id,name,slug,description,created_at,active
1,Marvel,marvel,"Подразделение корпорации Marvel Entertainment, занимающееся изданием комиксов. Среди поклонников комиксов получила прозвище «Дом идей». Marvel наиболее известна сериями комиксов про супергероев в числе которых «Росомаха», «Фантастическая Четвёрка», «Человек-Паук», «Невероятный Халк», «Железный Человек», «Сорвиголова», «Тор», «Капитан Америка» и «Люди Икс». Большинство персонажей комиксов Marvel обитают в одной вымышленной вселенной, получившей название \'Вселенная Marvel\'.<br>В 2009 году куплена Disney за 4 миллиарда $.",2025-10-28 18:06:56,1
2,DC,dc,"Одно из крупнейших и наиболее популярных издательств комиксов. Наиболее популярно благодаря сериям про супергероев среди которых Бэтмен, Супермен, Зеленый фонарь и Флэш.<br>Издательство было куплено компанией Warner Bros. Entertainment в 1969.",2025-10-28 18:06:56,1
3,Dark Horse,dark-horse,"Одно из крупнейших издательств в Америке, входящее в большую четверку. Издательство по большей части публикует мрачные мистические комиксы и мангу (\""Город Грехов\"", \""Hellsing\"", \""Хеллбой\""). А также Dark Horse может похвастаться множеством комиксов по известным лицензиям (\""Звёздные войны\"",\""Чужие\"", \""Хищник\"", \""Баффи\"").",2025-10-28 18:06:56,1
4,Image,image,"Компания, основанная в 1992 году семью художниками, которые хотели иметь полные права на своих персонажей и серии, не заботясь о копирайтах. На данный момент Image является одним из четырех крупнейших комикс-издательств в Америке. Специализируется на комиксах самых разнообразных жанров и направлений, обычно ориентированных на взрослую аудиторию. \""Spawn\"", \""Walking Dead\"", \""Invincible\"" - все это комиксы Image.",2025-10-28 18:06:56,1
5,2000AD,2000ad,"Изначально 2000 AD был британским журналом в котором публиковались разнообразные комиксы от самых разных авторов в числе которых между тем Алан Мур, Нил Гейман и Грант Моррисон. Затем под покровительством 2000 AD стали выпускаться еще несколько изданий. Самый популярный и известный комикс издательства - это без сомнений \""Судья Дредд\"".",2025-10-28 18:06:56,1
6,Albatross,albatross,,2025-10-28 18:06:56,1
7,Alias,alias,"Издательство с очень специфичными комиксами интересными узкой аудитории. После хорошего старта, с каждым годом дела у компании шли все хуже и в итоге она была куплена корпорацией Lamp Post. Наиболее примечательная серия, которая пережила издательство - это XIII.",2025-10-28 18:06:56,1
8,Archaia,archaia,"Издательство основанное Марком Смайли ради одного его комикса, но в итоге запустившая еще с десяток серий в жанре фантастики и фэнтэзи.<br>В 2008 году была куплена компанией Kunoichi.",2025-10-28 18:06:56,1
10,Avatar,avatar,"Avatar Press - независимое американское издательство комиксов, основанное в 1996 году Уильямом А. Кристенсеном. Известно за публикации жёстких, кровавых комиксов со взрослым рейтингом. Известные серии: Blackgas, Doktor Sleepless, No Hero, Crossed и RoboCop.",2025-10-28 18:06:56,1
11,Benitez,benitez,"Известный художник Джо Бенитез ушёл на вольные хлеба, открыв в 2010-м небольшое издательство для своих серий Wraithborn и Lady Mechanika.",2025-10-28 18:06:56,1
12,Big City Comics,big-city-comics,,2025-10-28 18:06:56,1
13,Bongo,bongo,"Издательство основанное четырьмя авторами в числе которых Мэтт Гроунинг. Издательство занимается выпуском комиксов по мотивам мультсериалов \""Симпсоны\"" и \""Футурама\"" и названо в честь персонажа придуманного Гроунингом - кролика по имени Бонго.",2025-10-28 18:06:56,1
