id,publisher_id,name,slug,description,created_at,active
9,1,Amazing Spider-Man (1963) ,amazing-spider-man-1963,"Впервые, Человек-Паук появился в журнале «Amazing Fantasy #15» (авг. 1962). Журнал этот, оказался не популярен, но фанаты настолько полюбили нового героя, что в скорее свет увидел новый комикс. Первый номер журнала – «Amazing Spider-Man» (Удивительный Человек-Паук) был выпущен в марте 1963 года. Создателем нового героя являются Стэн Ли и Стив Дитко, этот дуэт сделал 38 выпусков Удивительного Человека - Паука с 1963 до 1966. С тех пор, много авторов и художников работали над ежемесячными выпусками комикса. Комикс «Amazing Spider-Man», теперь именуют классическим, поскольку он был первым (и много лет, единственным) регулярным журналом про Человека-Паука.<br><br>Amazing Spider-Man #378-379 переведены и оформлены командой Comixopolis",2025-10-28 18:06:56,1
51,1,1985 (2008) ,1985-2008,"Что случится, если вселенная твоего любимого комикса станет реальностью? 13-летний мальчик Тоби узнал ответ на этот вопрос, и ответ ему очень не понравился – ведь в его мир вторглись злодеи Вселенной Марвел! Кто станет героем в его мире?",2025-10-28 18:06:56,1
53,1,Amazing Spider-Man &amp; Silk (2016),amazing-spider-man-amp-silk-2016,"Отношения между Человеком-пауком и Шелк достаточно сложны и запутаны, но когда (не)счастливый случай сводит их вместе, Питеру Паркеру и Синди Мун поневоле придется сотрудничать, ведь от этого зависит не только их жизнь, но и само течение времени! Не пропустите новую историю Робби Томпсона («Шелк», «Веном: Космический рыцарь»), воплощенную художником Тодом Науком («Ночной Змей», «Удивительный Человек-паук»)!",2025-10-28 18:06:56,1
54,1,Amazing Spider-Man Presents: Anti-Venom (2009),amazing-spider-man-presents-anti-venom-2009,"Эдди Броку жизнь никогда не показывала легкой дороги: Эдди был амбициозен, но лишен выдающихся способностей и удачи. Инопланетный симбиот Веном принес его жизни новый смысл, приносящий страдания и боль невиновным. Когда же Эдди раскаялся во всех своих деяниях, поменял взгляд на мир, он и не предполагал, что пробудится частичка ушедшего симбиота, дремлющая в его душе, ожидая своего часа. Именно так появился Анти-Веном в \""Amazing Spider-Man - New Ways to Die\"". Сейчас же Эдди Брок вновь балансирует между светлой и темной сторонами своей души, слепо бродя по улицам в поисках своего места в новом мире.",2025-10-28 18:06:56,1
55,1,Astonishing X-Men (2004),astonishing-x-men-2004,"Люди Икс собираются в своем звездном составе: Циклоп, Эмма Фрост, Росомаха, Призрачная Кошка и Зверь. Их цель – возродить Институт Хавьера и воспитать поколение новых мутантов. Однако судьба готовит им самое тяжелое испытание за всю историю легендарной команды…",2025-10-28 18:06:56,1
56,1,Avengers: The Initiative (2007),avengers-the-initiative-2007,"Этот комикс повествует о событиях, произошедших сразу же после окончания Гражданской войны супергероев, когда по США начинают появляться тренировочные базы для будущих супергероев, где они должны проходить обучение. Изначально Marvel планировала сделать ограниченную серию из шести выпусков, но уже после издания первого выпуска она официально заявила, что The Initiative станет серией.",2025-10-28 18:06:56,1
57,1,Black Panther (2005),black-panther-2005,"Т\'Чалла, король Ваканды, больше известный как Черная Пантера. Ваканда - независимое, высокоразвитое цивилизованное государство, с продвинутыми технологиями, богатое ресурсами, имеющее военные силы. Черная Пантера прекрасный лидер, истинный воин и воплощение идеалов своих людей. Пережив много трудностей и пройдя множество испытаний, Т\'Чалла защищал своё государство и свой народ. Не так давно он женился на Ороро Монро, известной как Шторм - участницу команды Люди Икс. Но радости женитьбы не долго длились - атмосфера вокруг Ваканды накалялась, люди с недоверием и боязнью смотрели на молодоженов, на эту необычайно сильную пару. Именно поэтому королю и королеве Ваканды предстояло разрешить надвигающиеся конфликты с остальным миром.",2025-10-28 18:06:56,1
58,1,Black Panther (2016),black-panther-2016,"В ходе событий Doomwar, AvX и Infinity Ваканда пережила переворот, наводнение, космическое вторжение и смерть своей королевы. Некогда гордая непобедимая страна утратила свою былую славу. Народ Ваканды стыдится своего вернувшегося короля Т\'Чаллу. Зреет революция. Новая серия про Черную Пантеру от новичка в мире комиксов Та-Нехиси Коутса, афроамериканца, который выиграл несколько национальных премий США по литературе. Ваканда никогда не будет прежней.",2025-10-28 18:06:56,1
59,1,Black Panther: The Man Without Fear (2011),black-panther-the-man-without-fear-2011,,2025-10-28 18:06:56,1
60,1,Bucky Barnes: The Winter Soldier (2014),bucky-barnes-the-winter-soldier-2014,"Джеймс Бьюкенен Барнс сражался за США во время Второй мировой войны под именем Баки – юного напарника Капитана Америка. Затем он сражался на стороне Советов, как запрограммированный убийца под кодовым именем Зимний Солдат. Позже он сражался за наследие своего наставника, когда выступал в роли Капитана Америка. Но сейчас Баки Барнс сражается за каждого из нас. Он – «Страж границы», тайно защищающий Землю от любых угроз вместе со своей напарницей Дэйзи «Землетрясение» Джонсон.",2025-10-28 18:06:56,1
